Datetime,PowerOut,ArrayPower,Service,DelvrEff,BatSoc,BatDrain,BatPwr,Warn,Month,DayofMonth,DayofYear,AC_Load,DC_Load,Total_Load
2021-08-14 18:00:00-06:00,3.877551020408163,10.005784937759998,1.0,0.3875309178168518,100.0,4.783732346092516,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 19:00:00-06:00,3.877551020408163,0.03988545892632786,1.0,1.0,99.67989237397555,-4.225420663522652,1315.0095250356096,,8,14,226,0.0,3.5,3.5
2021-08-14 20:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.35657513015843,-4.26530612244898,1309.9715101291538,,8,14,226,0.0,3.5,3.5
2021-08-14 21:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.03306717221326,-4.26530612244898,1304.9330442680985,,8,14,226,0.0,3.5,3.5
2021-08-14 22:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.70936753904822,-4.26530612244898,1299.8941251991068,,8,14,226,0.0,3.5,3.5
2021-08-14 23:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.38547526078834,-4.26530612244898,1294.8547506484113,,8,14,226,0.0,3.5,3.5
2021-08-15 00:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.06138935865934,-4.26530612244898,1289.8149183215437,,8,15,227,0.0,3.5,3.5
2021-08-15 01:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.73710884486933,-4.26530612244898,1284.7746259030635,,8,15,227,0.0,3.5,3.5
2021-08-15 02:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.41263272248835,-4.26530612244898,1279.7338710562794,,8,15,227,0.0,3.5,3.5
2021-08-15 03:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.0879599853261,-4.26530612244898,1274.6926514229667,,8,15,227,0.0,3.5,3.5
2021-08-15 04:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.76308961780713,-4.26530612244898,1269.6509646230797,,8,15,227,0.0,3.5,3.5
2021-08-15 05:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.43802059484426,-4.26530612244898,1264.6088082544597,,8,15,227,0.0,3.5,3.5
2021-08-15 06:00:00-06:00,3.877551020408163,0.014820028632599475,1.0,1.0,96.11388204482152,-4.25048609381638,1259.5836962110152,,8,15,227,0.0,3.5,3.5
2021-08-15 07:00:00-06:00,3.877551020408163,9.303014709491478,1.0,0.41680585718649454,96.43422183272638,4.198090489202083,1264.5499010176109,,8,15,227,0.0,3.5,3.5
